gid,study_patch,annual_mean_temp,annual_precip,patch_colour,patch_cover_100,patch_height,shrubland_cover_750,slope_750,urban_cover_750,visitation_rate,water_shore_length
57,Manso27,-0.023244129,-0.338330242,1,0.398303202,-0.407274666,-0.662667017,0.517435056,-0.75106544,0.059061159,0.738739555
58,Manso28,0.169860942,-0.452720967,0,0.506163224,1.549804175,-0.238072184,0.910378913,-0.75106544,-0.156889042,0.774957175
59,Manso29,-1.374979628,-0.926625403,1,-0.082196793,-0.04437263,0.433651434,1.615305237,0.846534721,0.055523168,-0.724996769
60,Manso3,-0.023244129,0.091996774,1,-0.907877649,-0.290627583,-0.006586644,1.533555788,-0.72567435,1.502731637,1.295666189
61,Manso30,-1.374979628,-1.106382257,0,0.715195354,-1.26268661,0.694479405,-1.830172874,1.044113555,-0.545056107,-1.628777359
62,Manso4,-0.023244129,-0.033288306,1,0.673824501,-1.184921888,0.477179317,1.138760049,-0.75106544,0.566864363,-0.321548315
63,Manso5,-2.147399913,-0.697843951,1,0.297932211,-1.781118091,0.886329684,1.055677101,-0.707142894,-0.536157203,-0.359117291
64,Manso6,-2.919820197,-0.708738306,1,0.517812655,-1.00347087,1.13951041,0.80949593,-0.75106544,-0.470393234,-1.19040849
65,Manso7,-2.533610055,-0.692396774,0,-1.755711789,-1.366372906,2.714892399,-0.02667567,-0.75106544,0.60081176,-1.628777359
66,Manso8,-2.533610055,-0.643372177,1,-1.462037303,-1.340451332,0.967399485,0.502128909,-0.75106544,0.994717839,-1.628777359
67,Manso9,-2.919820197,-0.719632661,1,-2.042832322,-1.794078878,0.917598938,-0.079441014,-0.75106544,1.624841042,-1.628777359
68,MansoInf1,2.680226868,1.295822983,1,0.993863161,2.79403973,0.690373156,0.078618792,-0.719328625,-0.013397071,0.248694817
69,MansoInf2,2.487121797,1.186879435,1,0.086790975,0.240764685,0.424189731,0.477793604,-0.437662221,1.364425142,-0.114703563
70,MansoInf3,1.714701512,1.001675403,1,-0.549040753,0.65550987,0.082365311,1.179880024,-0.747798501,1.056138332,0.043389045
71,Otros1_Ireco,-0.023244129,-1.182642741,1,-0.242210133,-0.001170005,-0.209524091,-0.760804862,3.11223293,-1.28640235,-0.147780173
72,Otros4_teleferico_Otto,-0.023244129,-0.74142137,1,1.069821173,0.940647185,-0.253952881,-1.235436219,2.906661803,0.251721108,-0.835243149
73,Otros5,0.556071085,-0.376460484,1,0.416722103,-0.109176565,-0.67075462,-0.748986034,1.557126552,-0.388709899,-0.156540401
74,Otros6_Playa_Bonita,0.556071085,-0.316541532,0,0.954489018,-0.679451194,-0.596982658,-0.715559498,2.325603979,-0.212859175,-0.265770594
75,Pedro1,0.556071085,-0.065971371,1,-0.73019705,-1.13307874,-1.756190702,-0.668716397,-0.75106544,-0.612124472,0.017000898
76,Pedro2,0.362966014,-0.016946774,1,0.602547542,0.590705935,-1.756190702,-1.306420742,0.771098873,-0.955596534,0.401716649
77,Villa1,0.169860942,2.009403224,0,-2.333481943,-0.649209357,-0.093033889,0.475651428,-0.743086633,1.968388003,-0.803864892
78,Villa10,0.749176156,1.19777379,1,1.020202998,0.78511774,-0.710349792,-0.220331175,0.240984684,-0.81459318,1.024661609
79,Villa11,-0.2163492,0.620372983,1,-0.364048776,0.448137278,-0.590977884,0.795173895,-0.201200918,0.406614512,-1.628777359
80,Villa12,0.556071085,0.734763709,0,-0.829256584,2.236725887,-0.345335164,-1.281219871,-0.562985612,0.923955143,0.028785057
81,Villa13,0.362966014,0.489640725,0,1.165540355,1.277627647,-0.627145454,-0.968755013,-0.691027228,-1.399966884,0.717788556
82,Villa14,0.749176156,0.516876613,0,0.439975989,-0.666490407,-0.170463618,-0.788945977,-0.75106544,-0.410983581,0.622484343
83,Villa15,0.942281227,0.462404838,0,0.66260153,1.459078666,0.222596943,0.360364034,-0.75106544,-0.549141438,-0.003894449
84,Villa16,0.749176156,0.298989516,0,-0.233916465,1.277627647,-0.284626077,0.556042356,-0.75106544,0.281922563,-0.006199409
85,Villa17,0.749176156,0.255412097,0,0.043722444,-0.744255129,-0.753680928,0.914988522,-0.75106544,-0.314099123,-0.08119208
86,Villa18,0.749176156,0.113785484,0,1.755682134,-1.00347087,0.200910305,0.46309065,-0.607544282,-1.03261993,0.565586157
87,Villa19,0.169860942,-0.180362097,0,0.741636709,1.26466686,-0.214253887,-0.356081623,-0.617698435,-0.155628146,0.600110574
88,Villa2,-0.023244129,1.960378628,0,-1.060035369,0.261973245,-0.780352979,0.617686471,-0.64970735,-0.210279363,-0.170888447
89,Villa20,0.556071085,-0.125890322,0,-0.178896009,-1.508941564,-0.404682029,-0.082059734,-0.697763442,0.617305029,-0.15319236
90,Villa21,-0.023244129,-0.507192742,0,0.376806151,-0.886823786,0.047055747,-0.440928111,-0.577570038,1.065303809,0.778567816
91,Villa22,0.556071085,-0.381907661,0,1.326313806,0.940647185,-0.061558186,0.33624342,-0.75106544,-0.580342158,0.372450858
92,Villa23,0.362966014,-0.507192742,0,0.938076971,0.033392093,-0.288490267,0.569783242,-0.743414461,0.21635469,0.533817578
93,Villa24,0.749176156,-0.452720967,0,-0.094215771,-0.899784573,-0.278462775,1.063500208,-0.75106544,1.156205765,-0.12609688
94,Villa25,0.749176156,-0.485404032,0,-0.23229961,0.396294129,-0.55666976,-0.383090093,-0.75106544,1.380136883,-0.048390588
95,Villa26,0.362966014,-0.676055241,0,1.224613055,-1.210843462,0.331156148,-0.459763304,-0.75106544,1.726796244,0.788329163
96,Villa27,-0.2163492,-0.817681854,0,-1.218349966,0.603666722,1.20668268,0.759809123,-0.704603148,2.327053367,-1.628777359
97,Villa28,-0.023244129,-0.844917741,0,1.241923018,-0.925706147,0.539232967,0.68724902,-0.75106544,2.135516293,-0.781087898
98,Villa29,-0.602559343,-0.986544354,0,-1.05178365,-1.716314156,1.354370659,-0.231056562,-0.75106544,2.314999724,-0.719718391
99,Villa3,-0.602559343,1.530051612,1,-0.779377582,0.824000101,-0.939728668,0.186030158,-0.445988399,-0.232032992,-0.087995163
100,Villa30,-0.795664414,-1.12272379,1,-1.323481257,-0.199902074,2.492612273,-0.897769942,-0.75106544,2.390582362,-1.486847907
101,Villa31,-0.795664414,-1.275244757,0,-1.360172601,-1.254046086,1.611824643,-1.157391683,-0.75106544,2.276993745,-1.628777359
102,Villa38,0.556071085,-1.580286692,1,-0.035775212,-0.778817227,0.575879953,-0.938482002,0.630967605,-0.184667275,0.456270122
103,Villa4,0.942281227,2.189160079,0,1.147510487,1.899745425,-0.368277043,-0.613539572,-0.150198405,-1.566335022,1.349510676
104,Villa5,0.169860942,1.655336692,1,0.153394712,0.188921537,-0.354847521,-1.188598423,1.247336198,-1.171974847,0.024878616
105,Villa6,0.556071085,1.655336692,1,-0.281362208,1.718294406,-0.333628452,-1.304187497,2.210153438,-1.362770859,-0.980418755
106,Villa7,0.169860942,1.355741935,1,0.559687202,0.499980426,-0.440240341,-0.050220377,0.830274263,-1.23623435,-1.628777359
107,Villa8,0.169860942,1.121513306,1,-0.400776738,-0.614647259,-0.219589494,-0.157093981,1.185110977,-1.04541942,-1.628777359
108,Villa9,0.169860942,0.952650806,1,0.25734307,0.603666722,-0.384434399,-0.943442919,1.392541525,-0.367612492,-0.047956294
